,width,longitude,type,average_people_value
579,55.73646075,37.633990749999995,apartments,500.0
580,55.737453,37.63296205,apartments,500.0
581,55.7378881,37.6340555,apartments,500.0
582,55.7377847,37.6330842,apartments,500.0
583,55.7383982,37.63311575,apartments,500.0
584,55.737226050000004,37.6383802,apartments,500.0
585,55.73653365,37.6362783,office,1000.0
586,55.7384068,37.6349247,commercial,1000.0
587,55.73893405,37.63425225,commercial,1000.0
588,55.73749315,37.63546625,office,1000.0
589,55.73828385,37.640901799999995,apartments,500.0
590,55.7380518,37.641002400000005,apartments,500.0
591,55.7387157,37.64040985,office,1000.0
592,55.738108499999996,37.640530749999996,office,1000.0
593,55.73544255,37.643266999999994,apartments,500.0
594,55.7399828,37.6301824,apartments,500.0
595,55.7435982,37.62546315,apartments,500.0
596,55.7419839,37.61783535,university,1000.0
597,55.75895495,37.61056255,office,1000.0
598,55.73404585,37.6162872,apartments,500.0
599,55.734682899999996,37.61663985,apartments,500.0
600,55.734786150000005,37.61829165,apartments,500.0
601,55.767994349999995,37.598526,apartments,500.0
602,55.767314,37.59767925,commercial,1000.0
603,55.76829815,37.596337649999995,apartments,500.0
604,55.76877265,37.597342499999996,apartments,500.0
605,55.75186085,37.6422161,apartments,500.0
606,55.75348085,37.6410035,apartments,500.0
607,55.7534072,37.64135494999999,apartments,500.0
608,55.753599550000004,37.63977895,office,1000.0
